sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,2
1,0.25,0.74,-3992,2
2,0.25,0.5725,-3056,2
3,0.25,0.43875,-2312,2
4,0.25,0.33125,-2160,2
5,0.25,0.2875,-1976,2
6,0.25,0.2075,-2064,2
7,0.25,0.16125,-1760,2
8,0.25,0.11375,-1696,2
9,0.25,0.05625,-1792,2
10,0.25,0.025,-1608,2
11,0.25,0.03125,-1720,2
12,0.25,0.07875,-1832,2
13,0.25,0.0325,-1760,2
14,0.25,0.01875,-2024,2
15,0.25,0.0575,-2032,2
16,0.25,-0.00125,-1920,2
17,0.25,0.0175,-1816,2
18,0.25,-0.00375,-1816,2
19,0.25,0.015,-1776,2
20,0.25,0.05375,-1824,2
