sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,3
1,0.25,0.7575,-4080,3
2,0.25,0.56625,-2992,3
3,0.25,0.4325,-2296,3
4,0.25,0.32625,-2056,3
5,0.25,0.24,-2096,3
6,0.25,0.18,-1752,3
7,0.25,0.17125,-1632,3
8,0.25,0.15625,-1928,3
9,0.25,0.08625,-1848,3
10,0.25,0.08,-1688,3
11,0.25,0.0375,-1808,3
12,0.25,0.04875,-1640,3
13,0.25,0.01,-1816,3
14,0.25,-0.015,-1552,3
15,0.25,-0.06625,-1736,3
16,0.25,-0.0425,-1768,3
17,0.25,-0.02125,-1768,3
18,0.25,-0.0475,-1688,3
19,0.25,0.0125,-1672,3
20,0.25,0.0125,-1744,3
21,0.25,0.00375,-1688,3
22,0.25,0.065,-1680,3
23,0.25,0.03625,-1640,3
24,0.25,0.05125,-1744,3
25,0.25,0.01375,-1720,3
26,0.25,0.035,-1752,3
27,0.25,0.03625,-2040,3
28,0.25,0.00875,-1768,3
29,0.25,-0.035,-1808,3
30,0.25,-0.015,-1768,3
31,0.25,-0.09875,-1840,3
32,0.25,-0.08625,-1880,3
33,0.25,-0.0575,-1784,3
34,0.25,-0.0325,-1480,3
35,0.25,-0.05375,-1544,3
36,0.25,-0.07,-1728,3
37,0.25,-0.05125,-1832,3
38,0.25,-0.04375,-1776,3
39,0.25,-0.00375,-1704,3
40,0.25,-0.02875,-1800,3
41,0.25,-0.025,-1704,3
42,0.25,0.0075,-1704,3
43,0.25,-0.02625,-1528,3
44,0.25,-0.055,-1568,3
45,0.25,-0.075,-1768,3
46,0.25,-0.11125,-1664,3
47,0.25,-0.165,-2208,3
48,0.25,-0.16125,-1904,3
49,0.25,-0.13625,-1832,3
50,0.25,-0.13125,-1832,3
51,0.25,-0.09375,-1712,3
52,0.25,-0.115,-1848,3
53,0.25,-0.0925,-1640,3
54,0.25,-0.08625,-1800,3
55,0.25,-0.04875,-1872,3
56,0.25,-0.02875,-1856,3
57,0.25,-0.0525,-1704,3
58,0.25,0.01125,-1720,3
59,0.25,-0.0025,-1840,3
60,0.25,-0.01875,-1880,3
61,0.25,-0.085,-1728,3
62,0.25,-0.04,-1464,3
63,0.25,0.005,-1608,3
64,0.25,0.02625,-1632,3
65,0.25,0.115,-1536,3
66,0.25,0.1325,-1720,3
67,0.25,0.15375,-1944,3
68,0.25,0.08875,-1896,3
69,0.25,0.0725,-2000,3
70,0.25,0.0375,-1808,3
71,0.25,0.0175,-1744,3
72,0.25,0.025,-1800,3
73,0.25,0.02375,-1864,3
74,0.25,0.04125,-2000,3
75,0.25,0.02875,-1800,3
76,0.25,0.00125,-1624,3
77,0.25,-0.025,-1696,3
78,0.25,0.02375,-1824,3
79,0.25,0.05875,-1688,3
80,0.25,0.05125,-1800,3
81,0.25,0.0125,-1688,3
82,0.25,0.005,-1840,3
83,0.25,0.07125,-1816,3
84,0.25,0.09625,-1720,3
85,0.25,0.04125,-1864,3
86,0.25,0.01875,-1680,3
87,0.25,-0.05875,-1864,3
88,0.25,-0.0425,-1424,3
89,0.25,-0.03875,-1792,3
90,0.25,-0.02,-1712,3
91,0.25,-0.03375,-1928,3
92,0.25,-0.0425,-1776,3
93,0.25,-0.01875,-1792,3
94,0.25,-0.06625,-1816,3
95,0.25,-0.01875,-2024,3
96,0.25,-0.01375,-1944,3
