sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,10
1,0.25,0.7475,-4000,10
2,0.25,0.5375,-2744,10
3,0.25,0.4025,-2200,10
4,0.25,0.25875,-1984,10
5,0.25,0.1625,-1688,10
6,0.25,0.1175,-1816,10
7,0.25,0.1275,-1992,10
8,0.25,0.10375,-1968,10
9,0.25,0.0975,-1768,10
10,0.25,0.1025,-1848,10
11,0.25,0.095,-1624,10
12,0.25,0.035,-1744,10
13,0.25,0.01625,-2008,10
14,0.25,-0.025,-1856,10
15,0.25,0.0225,-1728,10
16,0.25,0.00375,-1960,10
17,0.25,0.00375,-1808,10
18,0.25,-0.02,-1872,10
19,0.25,-0.01625,-1848,10
20,0.25,-0.05,-1976,10
