sweeps,beta,magnetisation,energy,G,seed
0,0.45,1,-4,1,17
1,0.45,0.955,-3.66,0.9175,17
2,0.45,0.92375,-3.475,0.865,17
3,0.45,0.91375,-3.46,0.8625,17
4,0.45,0.8975,-3.41,0.85,17
5,0.45,0.8975,-3.375,0.8425,17
6,0.45,0.885,-3.34,0.845,17
7,0.45,0.87,-3.295,0.815,17
8,0.45,0.88125,-3.31,0.8275,17
9,0.45,0.85625,-3.255,0.8175,17
10,0.45,0.88125,-3.37,0.8475,17
11,0.45,0.8675,-3.225,0.815,17
12,0.45,0.8375,-3.11,0.775,17
13,0.45,0.835,-3.14,0.78,17
14,0.45,0.845,-3.18,0.79,17
15,0.45,0.85625,-3.215,0.8075,17
16,0.45,0.84625,-3.2,0.7975,17
17,0.45,0.83875,-3.14,0.7825,17
18,0.45,0.8375,-3.06,0.76,17
19,0.45,0.80875,-2.96,0.7375,17
20,0.45,0.82125,-3.055,0.75,17
21,0.45,0.84,-3.16,0.785,17
22,0.45,0.83625,-3.22,0.8025,17
23,0.45,0.82375,-3.095,0.7875,17
24,0.45,0.86125,-3.245,0.8125,17
25,0.45,0.8475,-3.19,0.785,17
26,0.45,0.85625,-3.24,0.805,17
27,0.45,0.85125,-3.225,0.8075,17
28,0.45,0.86125,-3.26,0.825,17
29,0.45,0.8825,-3.34,0.835,17
30,0.45,0.87375,-3.3,0.8125,17
31,0.45,0.865,-3.255,0.8125,17
32,0.45,0.86625,-3.265,0.815,17
33,0.45,0.875,-3.295,0.825,17
34,0.45,0.90125,-3.41,0.8525,17
35,0.45,0.8625,-3.295,0.8225,17
36,0.45,0.8575,-3.245,0.8,17
37,0.45,0.85,-3.2,0.795,17
38,0.45,0.84375,-3.19,0.8075,17
39,0.45,0.8425,-3.16,0.795,17
40,0.45,0.84,-3.125,0.7825,17
41,0.45,0.85375,-3.205,0.81,17
42,0.45,0.83125,-3.135,0.7725,17
43,0.45,0.80125,-3.025,0.7525,17
44,0.45,0.81,-3.16,0.79,17
45,0.45,0.795,-3.065,0.775,17
46,0.45,0.7725,-3.02,0.7575,17
47,0.45,0.8025,-3.08,0.775,17
48,0.45,0.80375,-3.105,0.785,17
49,0.45,0.8175,-3.18,0.795,17
50,0.45,0.81125,-3.125,0.775,17
51,0.45,0.825,-3.21,0.81,17
52,0.45,0.805,-3.11,0.78,17
53,0.45,0.77875,-2.97,0.755,17
54,0.45,0.775,-3.005,0.745,17
55,0.45,0.79,-3.025,0.7525,17
56,0.45,0.7425,-2.88,0.7275,17
57,0.45,0.7675,-2.97,0.75,17
58,0.45,0.7825,-3.05,0.7675,17
59,0.45,0.7875,-3.05,0.76,17
