sweeps,beta,magnetisation,energy,G,seed
0,0.4,1,-4,1,0
1,0.4,0.915,-3.395,0.8475,0
2,0.4,0.85,-3.085,0.77,0
3,0.4,0.83625,-3.065,0.7775,0
4,0.4,0.80125,-2.945,0.72,0
5,0.4,0.79125,-2.92,0.73,0
6,0.4,0.765,-2.84,0.71,0
7,0.4,0.74125,-2.735,0.695,0
8,0.4,0.715,-2.67,0.675,0
9,0.4,0.69875,-2.66,0.68,0
10,0.4,0.69375,-2.625,0.6775,0
11,0.4,0.72625,-2.72,0.6825,0
12,0.4,0.68375,-2.64,0.655,0
13,0.4,0.62625,-2.55,0.6425,0
14,0.4,0.60625,-2.495,0.6325,0
15,0.4,0.6025,-2.51,0.655,0
16,0.4,0.59,-2.4,0.6025,0
17,0.4,0.57,-2.395,0.585,0
18,0.4,0.5725,-2.46,0.6,0
19,0.4,0.5675,-2.42,0.61,0
20,0.4,0.53875,-2.395,0.5925,0
21,0.4,0.575,-2.405,0.6125,0
22,0.4,0.595,-2.48,0.6275,0
23,0.4,0.575,-2.435,0.6125,0
24,0.4,0.50625,-2.27,0.585,0
25,0.4,0.52125,-2.215,0.5625,0
26,0.4,0.51875,-2.415,0.5975,0
27,0.4,0.48875,-2.39,0.605,0
28,0.4,0.52,-2.365,0.615,0
29,0.4,0.5175,-2.385,0.6025,0
30,0.4,0.525,-2.35,0.5875,0
31,0.4,0.51625,-2.37,0.61,0
32,0.4,0.5125,-2.395,0.63,0
33,0.4,0.48875,-2.385,0.595,0
34,0.4,0.5025,-2.28,0.59,0
35,0.4,0.5675,-2.455,0.63,0
36,0.4,0.55625,-2.385,0.5825,0
37,0.4,0.57875,-2.41,0.595,0
38,0.4,0.56375,-2.29,0.575,0
39,0.4,0.54,-2.245,0.5475,0
40,0.4,0.53375,-2.305,0.5725,0
41,0.4,0.54,-2.345,0.5725,0
42,0.4,0.54125,-2.385,0.585,0
43,0.4,0.57375,-2.44,0.6225,0
44,0.4,0.55875,-2.365,0.5675,0
45,0.4,0.5475,-2.39,0.5925,0
46,0.4,0.58,-2.485,0.5925,0
47,0.4,0.57625,-2.455,0.605,0
48,0.4,0.575,-2.475,0.6075,0
49,0.4,0.5975,-2.395,0.5925,0
50,0.4,0.6125,-2.515,0.62,0
51,0.4,0.6425,-2.48,0.62,0
52,0.4,0.62625,-2.49,0.635,0
53,0.4,0.59,-2.405,0.59,0
54,0.4,0.58875,-2.405,0.59,0
55,0.4,0.585,-2.49,0.63,0
56,0.4,0.53875,-2.345,0.585,0
57,0.4,0.54,-2.435,0.6,0
58,0.4,0.5675,-2.475,0.6,0
59,0.4,0.5725,-2.415,0.585,0
60,0.4,0.55125,-2.435,0.6125,0
61,0.4,0.53125,-2.315,0.58,0
62,0.4,0.52,-2.405,0.5875,0
63,0.4,0.50125,-2.415,0.6025,0
64,0.4,0.50375,-2.33,0.58,0
65,0.4,0.51875,-2.345,0.6025,0
66,0.4,0.55875,-2.335,0.585,0
67,0.4,0.5575,-2.405,0.605,0
68,0.4,0.5625,-2.44,0.5975,0
69,0.4,0.61875,-2.56,0.6275,0
70,0.4,0.63875,-2.59,0.655,0
71,0.4,0.63375,-2.41,0.605,0
72,0.4,0.65625,-2.455,0.62,0
73,0.4,0.6425,-2.48,0.6,0
74,0.4,0.63375,-2.485,0.61,0
75,0.4,0.66625,-2.605,0.66,0
76,0.4,0.6825,-2.65,0.6725,0
77,0.4,0.66625,-2.565,0.6325,0
78,0.4,0.66375,-2.57,0.6425,0
79,0.4,0.6875,-2.72,0.655,0
80,0.4,0.69625,-2.785,0.685,0
81,0.4,0.68875,-2.675,0.68,0
82,0.4,0.65375,-2.57,0.6475,0
83,0.4,0.6,-2.45,0.615,0
84,0.4,0.60625,-2.485,0.6025,0
85,0.4,0.57625,-2.435,0.6175,0
86,0.4,0.5475,-2.37,0.6,0
87,0.4,0.52625,-2.385,0.6,0
88,0.4,0.5425,-2.445,0.615,0
89,0.4,0.55875,-2.455,0.605,0
90,0.4,0.5575,-2.43,0.61,0
91,0.4,0.535,-2.445,0.63,0
92,0.4,0.5625,-2.56,0.6475,0
93,0.4,0.5175,-2.425,0.6075,0
94,0.4,0.50375,-2.34,0.58,0
95,0.4,0.49375,-2.31,0.5975,0
96,0.4,0.48875,-2.395,0.6075,0
97,0.4,0.48875,-2.42,0.5975,0
98,0.4,0.47875,-2.34,0.57,0
99,0.4,0.5175,-2.345,0.5825,0
100,0.4,0.51,-2.395,0.59,0
101,0.4,0.4475,-2.21,0.54,0
102,0.4,0.455,-2.225,0.56,0
103,0.4,0.50125,-2.285,0.5775,0
104,0.4,0.5025,-2.24,0.57,0
105,0.4,0.4975,-2.255,0.5525,0
106,0.4,0.50875,-2.33,0.5875,0
107,0.4,0.4925,-2.29,0.5725,0
108,0.4,0.50875,-2.34,0.6,0
109,0.4,0.4975,-2.385,0.59,0
110,0.4,0.52125,-2.48,0.63,0
111,0.4,0.51625,-2.505,0.625,0
112,0.4,0.55125,-2.46,0.6125,0
113,0.4,0.5425,-2.48,0.63,0
114,0.4,0.50625,-2.375,0.5925,0
115,0.4,0.49,-2.47,0.6475,0
116,0.4,0.51,-2.45,0.615,0
117,0.4,0.4875,-2.415,0.61,0
118,0.4,0.5025,-2.31,0.585,0
119,0.4,0.51625,-2.365,0.6,0
120,0.4,0.4475,-2.335,0.605,0
121,0.4,0.4075,-2.255,0.56,0
122,0.4,0.42875,-2.305,0.56,0
123,0.4,0.4625,-2.37,0.6,0
124,0.4,0.47125,-2.355,0.5625,0
125,0.4,0.48625,-2.41,0.59,0
126,0.4,0.455,-2.34,0.585,0
127,0.4,0.4925,-2.44,0.615,0
128,0.4,0.49375,-2.45,0.6175,0
129,0.4,0.4625,-2.355,0.605,0
130,0.4,0.45375,-2.285,0.5875,0
131,0.4,0.475,-2.355,0.5925,0
132,0.4,0.4475,-2.285,0.5625,0
133,0.4,0.4675,-2.365,0.6075,0
134,0.4,0.41,-2.31,0.59,0
135,0.4,0.42375,-2.275,0.5875,0
136,0.4,0.44625,-2.29,0.565,0
137,0.4,0.435,-2.34,0.5875,0
138,0.4,0.4375,-2.375,0.59,0
139,0.4,0.41375,-2.315,0.5925,0
140,0.4,0.44,-2.31,0.58,0
141,0.4,0.47,-2.35,0.57,0
142,0.4,0.485,-2.5,0.6275,0
143,0.4,0.485,-2.525,0.62,0
144,0.4,0.51,-2.47,0.6175,0
145,0.4,0.4975,-2.355,0.595,0
146,0.4,0.51625,-2.605,0.6475,0
147,0.4,0.505,-2.49,0.6275,0
148,0.4,0.5225,-2.565,0.65,0
149,0.4,0.52,-2.525,0.645,0
150,0.4,0.47,-2.47,0.6275,0
151,0.4,0.475,-2.325,0.585,0
152,0.4,0.485,-2.49,0.6075,0
153,0.4,0.43125,-2.37,0.595,0
154,0.4,0.37,-2.32,0.5825,0
155,0.4,0.315,-2.13,0.5225,0
156,0.4,0.34125,-2.08,0.5225,0
157,0.4,0.3225,-2.205,0.57,0
158,0.4,0.31375,-2.08,0.5425,0
159,0.4,0.32375,-2.2,0.5725,0
160,0.4,0.29875,-2.14,0.54,0
161,0.4,0.32375,-2.085,0.5275,0
162,0.4,0.33125,-2.08,0.515,0
163,0.4,0.29875,-1.915,0.4725,0
164,0.4,0.29875,-2.02,0.515,0
165,0.4,0.2325,-2.1,0.52,0
166,0.4,0.28,-2.07,0.5125,0
167,0.4,0.2975,-2.025,0.495,0
168,0.4,0.32875,-2.065,0.5025,0
169,0.4,0.3675,-2.03,0.5175,0
170,0.4,0.3925,-2.135,0.535,0
171,0.4,0.36875,-2.015,0.5,0
172,0.4,0.35875,-2.075,0.51,0
173,0.4,0.365,-2.055,0.52,0
174,0.4,0.38125,-2.13,0.5325,0
175,0.4,0.34875,-2.09,0.525,0
176,0.4,0.33375,-2.08,0.5125,0
177,0.4,0.3025,-2.09,0.52,0
178,0.4,0.3,-2.115,0.52,0
179,0.4,0.2875,-2.095,0.505,0
180,0.4,0.2825,-1.965,0.4725,0
181,0.4,0.29375,-2.04,0.5225,0
182,0.4,0.26375,-2.06,0.53,0
183,0.4,0.27625,-2.205,0.56,0
184,0.4,0.22,-2.095,0.5275,0
185,0.4,0.205,-2.325,0.5575,0
186,0.4,0.25125,-2.295,0.5675,0
187,0.4,0.2425,-2.165,0.5325,0
188,0.4,0.23,-2.205,0.555,0
189,0.4,0.15875,-2.25,0.555,0
190,0.4,0.14125,-2.185,0.5425,0
191,0.4,0.12625,-2.295,0.57,0
192,0.4,0.1175,-2.31,0.56,0
193,0.4,0.10125,-2.205,0.55,0
194,0.4,0.09,-2.295,0.5775,0
195,0.4,0.0975,-2.23,0.5425,0
196,0.4,0.11875,-2.165,0.5175,0
197,0.4,0.13875,-2.085,0.535,0
198,0.4,0.17875,-2.115,0.525,0
199,0.4,0.19375,-2.325,0.59,0
200,0.4,0.165,-2.345,0.6125,0
201,0.4,0.1575,-2.275,0.5775,0
202,0.4,0.14875,-2.29,0.5625,0
203,0.4,0.15375,-2.27,0.5675,0
204,0.4,0.1225,-2.3,0.575,0
205,0.4,0.11375,-2.175,0.55,0
206,0.4,0.10625,-2.24,0.5725,0
