sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.2,1,-4,1,0,0
1,0.2,0.66875,-2.03,1,0,0
2,0.2,0.40625,-1.38,1,0,0
3,0.2,0.27125,-1.03,1,0,0
4,0.2,0.18,-0.98,1,0,0
5,0.2,0.14,-0.875,1,0,0
6,0.2,0.10125,-0.91,1,0,0
7,0.2,-0.0075,-0.67,1,0,0
8,0.2,0.04,-0.69,1,0,0
9,0.2,0.025,-0.81,1,0,0
10,0.2,-0.0325,-0.76,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.63625,-2.055,1,0,0
2,0.2,0.4325,-1.435,1,0,0
3,0.2,0.2875,-1.09,1,0,0
4,0.2,0.18625,-0.98,1,0,0
5,0.2,0.16,-0.72,1,0,0
6,0.2,0.05125,-0.83,1,0,0
7,0.2,0.0325,-0.835,1,0,0
8,0.2,-0.01375,-0.765,1,0,0
9,0.2,-0.00375,-0.96,1,0,0
10,0.2,-0.05,-0.915,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.65875,-2.11,1,0,0
2,0.2,0.4025,-1.295,1,0,0
3,0.2,0.2525,-1,1,0,0
4,0.2,0.175,-0.97,1,0,0
5,0.2,0.07125,-0.965,1,0,0
6,0.2,0.02875,-0.685,1,0,0
7,0.2,0.01125,-0.99,1,0,0
8,0.2,0.01375,-0.795,1,0,0
9,0.2,0.0225,-0.89,1,0,0
10,0.2,0.0325,-0.93,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.62875,-2.02,1,0,0
2,0.2,0.4,-1.37,1,0,0
3,0.2,0.24,-1.06,1,0,0
4,0.2,0.14625,-0.96,1,0,0
5,0.2,0.1275,-0.855,1,0,0
6,0.2,0.07375,-0.86,1,0,0
7,0.2,0.03,-0.89,1,0,0
8,0.2,0.035,-0.775,1,0,0
9,0.2,0.02875,-0.85,1,0,0
10,0.2,0.03,-0.705,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.665,-2.035,1,0,0
2,0.2,0.44125,-1.36,1,0,0
3,0.2,0.30875,-1.04,1,0,0
4,0.2,0.27875,-1.15,1,0,0
5,0.2,0.1875,-0.905,1,0,0
6,0.2,0.1325,-0.88,1,0,0
7,0.2,0.03375,-0.875,1,0,0
8,0.2,0.03,-0.85,1,0,0
9,0.2,0.0075,-0.98,1,0,0
10,0.2,-0.04,-0.91,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.6475,-2,1,0,0
2,0.2,0.4025,-1.265,1,0,0
3,0.2,0.255,-1.01,1,0,0
4,0.2,0.16625,-0.94,1,0,0
5,0.2,0.1225,-0.94,1,0,0
6,0.2,0.1075,-0.915,1,0,0
7,0.2,0.0575,-0.855,1,0,0
8,0.2,-0.0075,-0.795,1,0,0
9,0.2,-0.02875,-0.76,1,0,0
10,0.2,-0.0975,-0.77,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.60625,-1.875,1,0,0
2,0.2,0.39625,-1.32,1,0,0
3,0.2,0.29125,-1.19,1,0,0
4,0.2,0.18375,-0.96,1,0,0
5,0.2,0.12875,-0.9,1,0,0
6,0.2,0.065,-0.875,1,0,0
7,0.2,0.0275,-0.86,1,0,0
8,0.2,0.00875,-0.86,1,0,0
9,0.2,-0.055,-0.935,1,0,0
10,0.2,-0.02375,-0.925,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.67125,-2.07,1,0,0
2,0.2,0.4,-1.225,1,0,0
3,0.2,0.2725,-0.995,1,0,0
4,0.2,0.265,-0.93,1,0,0
5,0.2,0.05625,-0.655,1,0,0
6,0.2,0.06375,-0.795,1,0,0
7,0.2,0.0575,-0.805,1,0,0
8,0.2,0.11625,-0.93,1,0,0
9,0.2,0.07625,-0.825,1,0,0
10,0.2,0.09625,-0.765,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.6225,-1.995,1,0,0
2,0.2,0.3425,-1.175,1,0,0
3,0.2,0.21375,-1.015,1,0,0
4,0.2,0.13375,-0.765,1,0,0
5,0.2,0.055,-0.75,1,0,0
6,0.2,0.025,-0.88,1,0,0
7,0.2,-0.01,-0.805,1,0,0
8,0.2,-0.0225,-0.87,1,0,0
9,0.2,-0.015,-0.925,1,0,0
10,0.2,0.0225,-0.965,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.63875,-2.05,1,0,0
2,0.2,0.43875,-1.3,1,0,0
3,0.2,0.25625,-1.045,1,0,0
4,0.2,0.165,-0.895,1,0,0
5,0.2,0.11125,-0.94,1,0,0
6,0.2,0.08,-0.935,1,0,0
7,0.2,0.055,-0.89,1,0,0
8,0.2,0.01375,-0.975,1,0,0
9,0.2,-0.02875,-0.92,1,0,0
10,0.2,-0.00625,-0.955,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.66375,-2.125,1,0,0
2,0.2,0.39,-1.19,1,0,0
3,0.2,0.27375,-1.025,1,0,0
4,0.2,0.24125,-1.09,1,0,0
5,0.2,0.1975,-1.055,1,0,0
6,0.2,0.09625,-0.785,1,0,0
7,0.2,0.04625,-0.83,1,0,0
8,0.2,0.07625,-0.935,1,0,0
9,0.2,0.03375,-0.95,1,0,0
10,0.2,-0.0375,-0.87,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.655,-1.975,1,0,0
2,0.2,0.41,-1.27,1,0,0
