sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.35,1,-4,1,0,14
1,0.35,0.91,-3.4,0.8325,0,14
2,0.35,0.825,-2.945,0.68,0,14
3,0.35,0.76375,-2.655,0.585,0,14
4,0.35,0.69625,-2.485,0.4825,0,14
5,0.35,0.62,-2.33,0.375,0,14
6,0.35,0.585,-2.14,0.3225,0,14
7,0.35,0.5675,-2.035,0.3125,0,14
8,0.35,0.5775,-2.185,0.305,0,14
9,0.35,0.5025,-2.09,0.2625,0,14
10,0.35,0.4875,-2,0.1975,0,14
11,0.35,0.45625,-1.975,0.225,0,14
12,0.35,0.4175,-1.915,0.19,0,14
13,0.35,0.37375,-1.85,0.16,0,14
14,0.35,0.34875,-1.735,0.135,0,14
15,0.35,0.315,-1.805,0.1275,0,14
16,0.35,0.28625,-1.76,0.1125,0,14
17,0.35,0.305,-1.865,0.12,0,14
18,0.35,0.2825,-1.8,0.1125,0,14
19,0.35,0.285,-1.73,0.155,0,14
20,0.35,0.26875,-1.895,0.085,0,14
21,0.35,0.24625,-1.76,0.1075,0,14
22,0.35,0.195,-1.665,0.0375,0,14
23,0.35,0.22625,-1.845,0.075,0,14
24,0.35,0.22625,-1.795,0.0225,0,14
25,0.35,0.22625,-1.765,0.0075,0,14
26,0.35,0.18375,-1.69,-0.005,0,14
27,0.35,0.17625,-1.71,0.0375,0,14
28,0.35,0.23875,-1.925,0.04,0,14
29,0.35,0.23875,-1.945,0.0425,0,14
30,0.35,0.21125,-1.865,0.0175,0,14
31,0.35,0.20375,-1.835,0.0375,0,14
32,0.35,0.225,-1.8,0.05,0,14
33,0.35,0.19875,-1.72,0.08,0,14
34,0.35,0.18625,-1.83,0.0675,0,14
35,0.35,0.17,-1.835,0.07,0,14
36,0.35,0.11375,-1.885,-0.005,0,14
37,0.35,0.1575,-1.8,0.035,0,14
38,0.35,0.16625,-1.715,0.0075,0,14
39,0.35,0.19,-1.87,0.06,0,14
40,0.35,0.2,-1.885,0.0125,0,14
41,0.35,0.18875,-1.86,-0.0125,0,14
42,0.35,0.20375,-1.88,-0.015,0,14
43,0.35,0.24125,-1.83,0.035,0,14
44,0.35,0.22625,-1.855,0.0325,0,14
45,0.35,0.22875,-1.79,0.0125,0,14
46,0.35,0.255,-1.96,0.055,0,14
47,0.35,0.215,-1.955,0.025,0,14
48,0.35,0.1825,-1.835,0.02,0,14
49,0.35,0.1675,-1.805,0.05,0,14
50,0.35,0.145,-2,0.0825,0,14
