sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.2,1,-4,1,0,13
1,0.2,0.59625,-1.905,0.3525,0,13
2,0.2,0.38375,-1.26,0.1025,0,13
3,0.2,0.29375,-1.1,0.06,0,13
4,0.2,0.12625,-0.955,0.02,0,13
5,0.2,0.05125,-0.98,0.0475,0,13
6,0.2,0.03875,-0.86,0,0,13
7,0.2,0.095,-0.825,0.0275,0,13
8,0.2,0.04375,-0.87,-0.025,0,13
9,0.2,0.04875,-0.965,0.0175,0,13
10,0.2,0.0375,-0.88,-0.0025,0,13
11,0.2,0.0475,-0.785,0.01,0,13
12,0.2,0.08,-0.885,-0.0525,0,13
13,0.2,0.08875,-0.935,0.0575,0,13
14,0.2,0.0775,-1,0.0275,0,13
15,0.2,0.00625,-0.895,0.0025,0,13
16,0.2,-0.01375,-0.755,0.03,0,13
17,0.2,0.04125,-0.83,0.07,0,13
18,0.2,0.05875,-0.89,-0.01,0,13
19,0.2,0.045,-0.825,-0.0025,0,13
20,0.2,0.03125,-0.75,0.01,0,13
21,0.2,0.0425,-0.71,0.065,0,13
22,0.2,0.05375,-0.905,-0.015,0,13
23,0.2,0.05,-0.86,0.0025,0,13
24,0.2,0.055,-0.825,-0.025,0,13
25,0.2,0.00375,-0.9,-0.0175,0,13
26,0.2,0.03125,-0.8,0.02,0,13
27,0.2,0.03125,-0.98,-0.02,0,13
28,0.2,0.02,-0.825,0,0,13
29,0.2,0.015,-0.79,-0.0025,0,13
30,0.2,0.0275,-0.73,0.0075,0,13
31,0.2,0.04125,-0.73,0.0275,0,13
32,0.2,0.09875,-0.855,0.0075,0,13
33,0.2,0.025,-0.75,0.0025,0,13
34,0.2,0.05875,-0.875,0.005,0,13
35,0.2,0.09625,-0.85,0.005,0,13
36,0.2,0.09625,-0.88,0.0275,0,13
37,0.2,0.03875,-0.765,-0.005,0,13
38,0.2,0.04375,-0.84,-0.0225,0,13
39,0.2,0.02,-0.835,0.0175,0,13
40,0.2,0.025,-0.87,-0.005,0,13
41,0.2,-0.0025,-0.945,0.015,0,13
42,0.2,0.08125,-0.95,0.03,0,13
43,0.2,0.0875,-0.775,-0.04,0,13
44,0.2,0.1125,-0.805,0.0025,0,13
45,0.2,0.065,-0.875,-0.0025,0,13
46,0.2,0.025,-0.845,0.0025,0,13
47,0.2,0.00875,-0.82,0.0225,0,13
48,0.2,0.005,-0.81,0.015,0,13
49,0.2,0.055,-0.815,-0.0125,0,13
50,0.2,0.0425,-0.89,-0.0225,0,13
